"id","title","address","desc","data_detail","embedding","image","created_at","updated_at","category"
"3","Kuta Beach","Kuta, Badung","A popular beach with white sand and captivating sunsets. Kuta Beach is one of Bali's most famous and iconic tourist destinations, located in the southern region of Bali Island, precisely in Badung Regency. The beach is known for its beautiful soft white sand that stretches across the beach, making it an ideal place to relax, sunbathe, or play by the beach. Its fairly large and consistent waves make Kuta Beach one of the favorite locations for surfers, both beginners and experienced. In addition to its natural beauty, Kuta Beach is also famous for its stunning sunset views. Every afternoon, tourists from all over the world gather here to enjoy the stunning sunset on the western horizon.","Kuta Beach is one of the most iconic tourist destinations in Bali. Located on the southwestern coast of the island, this beach is known for its long stretch of soft white sand and waves ideal for surfing, especially for beginners. Beyond its natural charm, Kuta is also a vibrant entertainment hub, packed with cafes, restaurants, and beach bars offering a variety of food, drinks, and live music. The area is always buzzing with both international and local tourists. Kuta Beach is also a favorite spot to witness the breathtaking sunset. Visitors often gather in the late afternoon to watch the sky turn brilliant shades of orange and purple over the ocean horizon.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:20:30",NULL
"4","Tanah Lot Temple","Tabanan","A temple on a rock surrounded by the sea at high tide. Tanah Lot is a very famous sea temple and an icon of Bali tourism. Located on a large rock by the sea, it offers stunning sunset views. Tanah Lot also has a high spiritual value for Balinese Hindus. Tanah Lot Temple is one of the seven sea temples located along the west coast of Bali that serves as a protector of the island from the evil spirits of the sea. Founded in the 16th century by Dang Hyang Nirartha, a Hindu holy man, the temple worships the God of the sea, Lord Baruna. At high tide, the temple appears to separate from the land, creating a dramatic scene that is especially beautiful at sunset.","Tanah Lot is one of Bali’s most iconic and sacred tourist destinations, best known for its temple perched on a large offshore rock. During high tide, the temple appears as if it is floating in the ocean, creating a breathtaking and dramatic view, especially at sunset. Tanah Lot Temple is dedicated to Baruna, the sea god in Balinese Hindu belief, and holds deep spiritual significance for the local community. It is often used for important religious ceremonies and rituals. Aside from its religious importance, Tanah Lot attracts tourists from around the world due to its stunning coastal scenery. When the tide is low, visitors can walk closer to the temple and explore the rocky base.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:27:56",NULL
"5","Ubud Monkey Forest","Ubud, Gianyar","A protected forest with hundreds of monkeys and a sacred temple. Ubud Monkey Forest or Mandala Wisata Wenara Wana is a natural tropical forest in the center of Ubud inhabited by hundreds of long-tailed macaques. It also has an ancient temple and large trees that give it a mystical and serene feel, perfect for educational and spiritual tours. Monkey Forest is not just a place for recreation, but also has deep spiritual value. Inside there are three sacred temples: Pura Dalem Agung Padangtegal, Pura Beji, and Pura Prajapati. The architecture of these temples is typically Balinese, surrounded by large trees, stone statues overgrown with moss, and a peaceful and mystical atmosphere. Monkey Forest is not just a place for recreation, but also has deep spiritual value. Inside are three sacred temples: Pura Dalem Agung Padangtegal, Pura Beji, and Pura Prajapati. The architecture of these temples is typically Balinese, surrounded by large trees, stone statues overgrown with moss, and a peaceful and mystical atmosphere.","Ubud Monkey Forest, officially known as Mandala Wisata Wenara Wana, is one of Ubud’s most iconic attractions, blending wildlife conservation, cultural heritage, and spirituality. This forest sanctuary is home to over 1,200 free-roaming Balinese long-tailed monkeys (Macaca fascicularis) and spans approximately 12.5 hectares of lush greenery. Beyond its wildlife, the forest is also home to three ancient Hindu temples, still in active use by the local community. These temples feature intricate Balinese carvings and are set amidst towering trees, creating a serene and mystical atmosphere. Visitors can explore well-maintained walking paths, interact with monkeys (under strict guidelines), and experience the harmony of nature and culture that defines Ubud.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"6","Tegallalang Rice Terrace","Tegallalang, Gianyar","A beautiful view of the rice terraces. Tegallalang is famous for its beautiful and iconic rice terraces. Located north of Ubud, this destination attracts many tourists who want to enjoy green panoramas, Instagramable photos, or try activities such as the giant swing (Bali Swing). Tegallalang's terraces are not only attractive to photographers and tourists, but also reflect local wisdom in managing agriculture and water. Visitors can walk the small paths between the rice fields, greet the local farmers, or simply sit at one of the cafes on the edge of the rice fields to enjoy the view.","Rice TerraceaTegallalang Rice Terrace is one of Bali’s most iconic and picturesque landscapes. Nestled in the lush highlands of Ubud, this area showcases stunning terraced rice fields, shaped by the centuries-old Subak irrigation system, which has been recognized as a UNESCO World Cultural Heritage. Its natural beauty makes it a favorite destination for travelers, nature lovers, and photographers. Visitors can walk along narrow paths that weave through the fields, breathe in the fresh mountain air, and relax at hillside cafés overlooking the lush green scenery. For thrill-seekers, there’s the famous Bali Swing, offering breathtaking views from above the terraces.

More than just a tourist site, Tegallalang reflects the traditional agrarian lifestyle of Balinese farmers who maintain their ancestral way of cultivating the land.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"7","Ulun Danu Beratan Temple","Bedugul, Tabanan","An iconic temple on the shores of Lake Beratan. Pura Ulun Danu Beratan is a water temple located on the shores of Lake Beratan, Bedugul. The temple appears to float on top of the water when the lake rises, creating a very beautiful sight and often used as an icon of northern Bali tourism. A distinctive feature of this temple is its main building which appears to “float” above the surface of the lake during high tide, producing a mesmerizing reflection and becoming a favorite photo object for tourists. The temple complex consists of several meru buildings (stepped towers), each dedicated to various gods and goddesses. The Balinese architectural structure blends perfectly with the natural beauty of the mountains, lake, and well-landscaped flower gardens.","Pura Ulun Danu Beratan is one of Bali’s most iconic and picturesque Hindu temples, located on the shores of Lake Beratan in the Bedugul area. Built in the 17th century, this temple is dedicated to Dewi Danu, the goddess of water, lakes, and rivers, reflecting the Balinese reverence for nature and its elements.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"8","Pandawa Beach","Kutuh, Badung","A hidden beach with limestone cliffs and clear water. Pandawa Beach is nestled behind limestone cliffs in the Kutuh area of Badung. The beach has clean white sand, calm waters and the iconic Pandawa Lima statues along the entrance road. The beach has clean white sand and clear blue waters, perfect for swimming, kayaking, or just relaxing under an umbrella while enjoying a young coconut. The calm waves make it family and kid-friendly. Along the beach is a row of local warungs and canoe rentals.","Pantai Pandawa, also known as Pandawa Beach, is a stunning coastal destination located on the southern coast of Bali, near the village of Kutuh. This beach is famous for its white sandy shores, clear turquoise waters, and dramatic limestone cliffs that create a natural, scenic backdrop.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"9","Garuda Wisnu Kencana","Ungasan, Badung","A cultural park with a giant statue of Lord Vishnu. GWK Cultural Park is a cultural park famous for its giant statue of Lord Vishnu riding Garuda. This statue is one of the tallest in the world. It is also often used for cultural performances and art events. The park not only presents monumental artworks, but also provides cultural performance areas, museums, theaters, as well as open spaces for various national and international events. One of the regular cultural events that are often performed are Kecak Dance, Barong Dance, and Balinese gamelan performances.","Garuda Wisnu Kencana (GWK) is a monumental cultural park and landmark located on the Bukit Peninsula in southern Bali. The centerpiece of the park is a colossal statue depicting the Hindu god Vishnu riding the mythical bird Garuda, symbolizing power, protection, and spiritual harmony.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"10","Sanur Beach","Sanur, Denpasar","A quiet beach with sunrise views. Sanur Beach is famous for its calm atmosphere and friendly waves for swimming or cycling along the coastal path. This beach is suitable for families and travelers looking for peace and quiet and to enjoy the sunrise. Sanur is also known as an older and historic tourist area. It was here that Bali's first hotel, Grand Inna Bali Beach, was built, and the area retains a classic, unpretentious Balinese feel. Sanur is also the main departure point to Nusa Penida and Nusa Lembongan Islands by fast boat.","Known for its tranquil atmosphere and rich cultural heritage, Sanur offers a unique blend of natural beauty and traditional Balinese charm. Unlike many western-facing beaches in Bali, Sanur provides an unobstructed view of the sun rising over the horizon, creating a picturesque and peaceful start to the day.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"11","Tirta Empul Temple","Tampaksiring, Gianyar","A temple with a sacred pool for purification rituals. Tirta Empul is a holy temple famous for its holy water bathing pool. Balinese Hindus perform melukat (spiritual cleansing) rituals here. Located in the Tampaksiring area, this temple has a cool and sacred atmosphere. The main attraction of Tirta Empul is the sacred bathing pool with 30 showers where Hindus perform the ritual of melukat, which is spiritual self-purification. Visitors from all over the world, both Hindu and non-Hindu, come here to experience the peaceful atmosphere and perform this cleansing procession.","Tirta Empul is a famous Hindu water temple located near the town of Tampaksiring in central Bali, Indonesia. Established in 962 AD, this sacred site is renowned for its holy spring water, believed to have purifying properties. The temple complex is dedicated to Vishnu, the Hindu god of water and preservation.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
"12","Jimbaran Beach","Jimbaran, Badung","Beach with beachfront seafood restaurants. Jimbaran Beach is a white sandy beach famous for its beachfront seafood restaurants. It is very popular for romantic dinners while enjoying the beautiful sunset. Jimbaran is also an active traditional fishing village. Every morning, the fishermen bring their fresh catch to the fish market, which is then served at restaurants along the beach. You can choose your own fresh fish, shrimp, squid or mussels to be grilled and served with Balinese chili sauce and vegetables.","Pantai Jimbaran (Jimbaran Beach) is a beautiful and popular beach located on the southwestern coast of Bali, Indonesia. Known for its calm waters, wide sandy shore, and spectacular sunsets, Jimbaran Beach is a favorite destination for both tourists and locals seeking relaxation and great dining experiences.",NULL,NULL,"2025-06-18 00:10:14","2025-06-18 00:10:14",NULL
